"Industry","Fuel Used","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Other industrial combustion","Natural gas",0.02,0.01,0.01,0.02,0.02,0.01,"0.01",0.01,0.01,0.01
"Other industrial combustion","Natural gas",0.21,0.43,0.35,0.27,0.27,0.24,"0.26",0.25,0.25,0.27
"Power stations","Coal",31.99,28.99,23.79,24.78,25.23,33.66,"31.33",23.95,18.33,7.52
"Power stations","Natural gas",27.5,29.62,28.21,29.72,23.86,15.85,"15.06",16.33,15.99,23.35
"Public sector combustion","Coal",0.1,0.1,0.1,0.1,0.1,0.09,"0.1",0.1,0.08,0.09
"Public sector combustion","Fuel oil",0.02,0.03,0.02,0.02,0.03,0.02,"0.01",0.01,0.02,0.02
"Public sector combustion","Fuel oil",0.02,0.03,0.02,0.01,0.02,0.01,"0.01",0.01,0.01,0.01
"Public sector combustion","Natural gas",1.24,1.1,0.97,0.93,0.85,1.1,"0.95",0.77,0.8,0.81
"Public sector combustion","Natural gas",0.06,0.06,0.05,0.05,0.04,0.05,"0.04",0.03,0.03,0.03
"Public sector combustion","Natural gas",1.18,1.32,1.2,1.37,1.07,1.02,"1.1399999999999999",0.88,0.88,0.89
"Public sector combustion","Natural gas",1.02,1.18,1.16,1.25,0.96,1.12,"1.27",1.19,1.27,1.29
"Public sector combustion","Natural gas",0.23,0.25,0.21,0.25,0.23,0.29,"0.27",0.23,0.24,0.25
"Public sector combustion","Natural gas",0.28,0.29,0.26,0.3,0.27,0.34,"0.32",0.27,0.29,0.29
"Refineries - combustion","LPG",0.05,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Refineries - combustion","Naphtha",0.1,0.09,0.01,0.18,0.11,0.21,"0.12",0.19,0.14,0.1
"Refineries - combustion","Natural gas",1.03,0.73,0.71,0.88,1.08,1.05,"1.08",1.21,1.11,1.1
"Refineries - combustion","OPG",3.04,3.92,3.85,3.77,3.8,2.99,"3.01",2.74,2.62,2.84
"Solid smokeless fuel production","Coal",0.04,0.05,0.03,0.03,0.04,0.02,"0.04",0.04,0.03,0.03
"Solid smokeless fuel production","Coal",0.15,0.21,0.13,0.13,0.14,0.1,"0.14000000000000001",0.14,0.12,0.12
"Agriculture - mobile machinery","Gas oil",1.23,1.2,1.23,1.24,1.25,1.29,"1.27",1.28,1.33,1.34
"Aircraft -  military","Aviation turbine fuel",1,0.83,0.74,0.7,0.68,0.63,"0.56999999999999995",0.51,0.42,0.39
"Aircraft - support vehicles","Gas oil",0.16,0.16,0.15,0.14,0.15,0.15,"0.16",0.16,0.17,0.17
"Autogenerators","Natural gas",0.02,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Autogenerators","Natural gas",0.03,0.02,0.02,0.03,0.02,0.02,"0.03",0.03,0.02,0.02
"Autogenerators","Natural gas",0.02,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Autogenerators","Natural gas",0.02,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"Autogenerators","Natural gas",0.04,0.03,0.03,0.03,0.03,0.03,"0.03",0.03,0.03,0.03
"Autogenerators","Natural gas",0.04,0.04,0.04,0.04,0.04,0.04,"0.04",0.04,0.04,0.04
"Autogenerators","Natural gas",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Autogenerators","Natural gas",0.05,0.04,0.04,0.04,0.04,0.03,"0.04",0.04,0.04,0.04
"Autogenerators","Natural gas",0.45,0.28,0.22,0.18,0.17,0.19,"0.15",0.14,0.12,0.13
"Autogenerators","Natural gas",0.08,0.05,0.04,0.03,0.03,0.03,"0.03",0.02,0.02,0.02
"Autogenerators","Natural gas",0.1,0.09,0.08,0.09,0.09,0.08,"0.08",0.06,0.05,0.05
"Autogenerators","Natural gas",0.04,0.03,0.03,0.03,0.03,0.04,"0.03",0.02,0.02,0.02
"Autogenerators","Natural gas",0.07,0.05,0.04,0.06,0.05,0.06,"0.05",0.04,0.04,0.03
"Autogenerators","Natural gas",0.15,0.13,0.11,0.13,0.13,0.12,"0.11",0.08,0.07,0.07
"Autogenerators","Natural gas",0.05,0.04,0.04,0.04,0.04,0.04,"0.04",0.03,0.02,0.02
"Autogenerators","Natural gas",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Autogenerators","Natural gas",0.02,0.02,0.02,0.02,0.02,0.02,"0.02",0.01,0.01,0.01
"Autogenerators","Natural gas",0.05,0.04,0.03,0.03,0.03,0.03,"0.03",0.02,0.02,0.02
"Autogenerators","Natural gas",0.02,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Autogenerators","Natural gas",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Autogenerators","Natural gas",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Autogenerators","Natural gas",0.02,0.02,0.03,0.03,0.04,0.03,"0.03",0.03,0.03,0.04
"Autogenerators","Natural gas",0.05,0.04,0.04,0.04,0.04,0.05,"0.05",0.05,0.05,0.05
"Autogenerators","Natural gas",0.05,0.05,0.05,0.05,0.05,0.05,"0.06",0.06,0.05,0.05
"Autogenerators","Natural gas",0.04,0.04,0.05,0.05,0.05,0.05,"7.0000000000000007E-2",0.08,0.08,0.08
"Autogenerators","Natural gas",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Autogenerators","Natural gas",0.01,0.01,0.01,0.01,0.01,0.02,"0.02",0.02,0.02,0.02
"House and garden machinery","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"House and garden machinery","Petrol",0.03,0.03,0.03,0.03,0.03,0.03,"0.03",0.03,0.03,0.03
"House and garden machinery","Petrol",0.02,0.02,0.02,0.02,0.02,0.02,"0.02",0.02,0.02,0.02
"House and garden machinery","Petrol",0.06,0.06,0.06,0.06,0.06,0.06,"0.06",0.06,0.06,0.06
"Industrial off-road mobile machinery","DERV",0.02,0.02,0.02,0.02,0.02,0.01,"0.01",0.01,0.01,0.01
"Industrial off-road mobile machinery","DERV",0.04,0.03,0.03,0.03,0.03,0.02,"0.02",0.02,0.02,0.02
