"Country","Year","NGCons"
"United States","2014",750.46232135
"Latin America","2014",239.742821301
"Argentina","2014",50.952344104
"Brazil","2014",41.285957211
"Chile","2014",4.076019966
"Colombia","2014",11.234632699
"Mexico","2014",72.069221411
"Venezuela","2014",23.415990235
"Asia","2014",662.969606236
"China","2014",184.415000375
"India","2014",50.438190675
"Indonesia","2014",42.84300703
"Japan","2014",130.433697129
"Malaysia","2014",45.471074975
"South Korea","2014",47.397241005
"Taiwan","2014",16.297047289
"Thailand","2014",48.364015495
"Pacific","2014",44.07777591
"Australia","2014",38.608108613
"New Zealand","2014",5.369667297
"Africa","2014",122.51722459
"Algeria","2014",37.767920388
"Egypt","2014",43.706282271
"Nigeria","2014",16.389211124
"South Africa","2014",4.720999137
"Middle-East","2014",451.228450134
"Iran","2014",172.496608442
"Kuwait","2014",18.338987223
"Saudi Arabia","2014",85.125894074
"United Arab Emirates","2014",66.152143219
"Belgium","2015",17.15169418
"Czech Rep.","2015",7.858635692
"France","2015",41.205109886
"Germany","2015",81.203346832
"Italy","2015",67.523015485
"Netherlands","2015",39.886259276
"Poland","2015",18.175932542
"Portugal","2015",4.765983428
"Romania","2015",11.299637371
"Spain","2015",28.21107389
"Sweden","2015",0.96490953
"United Kingdom","2015",71.773518317
"Norway","2015",6.317614477
"Turkey","2015",48.055033809
"CIS","2015",618.288143277
"Kazakhstan","2015",29.316016548
"Russia","2015",445.446272561
"Ukraine","2015",32.96455394
"Uzbekistan","2015",46.111978338
"America","2015",1122.76401063
"North America","2015",881.183056731
"Canada","2015",114.628132543
"United States","2015",766.554924188
"Latin America","2015",241.580953899
"Argentina","2015",51.959621818
"Brazil","2015",40.955572812
"Chile","2015",4.391908336
"Colombia","2015",10.995360237
"Mexico","2015",74.837079501
"Venezuela","2015",22.602980612
"Asia","2015",663.363303312
"China","2015",191.91871123
"India","2015",50.336148878
"Indonesia","2015",43.083550197
"Japan","2015",123.963398144
"Malaysia","2015",44.493306423
"South Korea","2015",44.322326913
"Taiwan","2015",17.504219552
"Thailand","2015",48.251730959
"Pacific","2015",45.269366823
"Australia","2015",40.108859324
"New Zealand","2015",5.060507499
"Africa","2015",129.321584326
"Algeria","2015",40.582290018
"Egypt","2015",45.017
"Nigeria","2015",17.18116685
"South Africa","2015",5.208005906
"Middle-East","2015",477.438153431
"Iran","2015",184.099573623
"Kuwait","2015",20.909
"Saudi Arabia","2015",87.254959237
"United Arab Emirates","2015",70.745827143
"Belgium","2016",17.508817862
"Czech Rep.","2016",8.505430871
"France","2016",45.025434928
"Germany","2016",88.843898133
"Italy","2016",70.915016263
"Netherlands","2016",41.686267417
"Poland","2016",19.307473677
"Portugal","2016",5.049556444
"Romania","2016",11.485801136
"Spain","2016",28.720329519
"Sweden","2016",1.069369602
"United Kingdom","2016",80.677487848
"Norway","2016",6.122893483
"Turkey","2016",46.331274557
"CIS","2016",607.435920543
"Kazakhstan","2016",29.286722072
"Russia","2016",437.134325025
"Ukraine","2016",32.206075116
"Uzbekistan","2016",44.980997124
"America","2016",1138.464944831
"North America","2016",898.762864926
"Canada","2016",125.370734507
"United States","2016",773.392130419
"Latin America","2016",239.702079905
"Argentina","2016",54.533036493
"Brazil","2016",34.774666323
"Chile","2016",4.891845171
"Colombia","2016",11.220807114
"Mexico","2016",77.158305986
"Venezuela","2016",23.733129643
"Asia","2016",691.924062789
"China","2016",207.272208128
"India","2016",54.796321334
"Indonesia","2016",44.456993511
"Japan","2016",124.956862403
"Malaysia","2016",45.491877378
"South Korea","2016",46.163016744
"Taiwan","2016",18.278529807
"Thailand","2016",47.336156252
"Pacific","2016",47.684845643
"Australia","2016",42.343761135
"New Zealand","2016",5.241084508
"Africa","2016",131.36260769
"Algeria","2016",40.728294832
"Egypt","2016",47.795
"Nigeria","2016",14.746278582
"South Africa","2016",5.208
"Middle-East","2016",490.975944367
"Iran","2016",187.93338141
"Kuwait","2016",21.778
"Saudi Arabia","2016",92.261462007
"United Arab Emirates","2016",71.524005812
"Belgium","2017",17.758609289
"Czech Rep.","2017",8.740830265
"France","2017",45.208010977
"Germany","2017",94.375884955
"Italy","2017",75.151474009
"Netherlands","2017",44.336436368
"Poland","2017",20.593762875
"Portugal","2017",6.362265942
"Romania","2017",11.988732317
"Spain","2017",31.561800509
"Sweden","2017",0.860238853
"United Kingdom","2017",78.540756238
"Norway","2017",5.187049571
"Turkey","2017",53.436845639
"CIS","2017",646.540886514
"Kazakhstan","2017",30.189077738
"Russia","2017",471.384874333
"Ukraine","2017",32.045845887
"Uzbekistan","2017",44.984238297
"America","2017",1134.172622846
"North America","2017",896.511407652
"Canada","2017",134.317664393
"United States","2017",762.193743259
"Latin America","2017",237.661215194
"Argentina","2017",54.584001769
"Brazil","2017",37.129378763
"Chile","2017",4.586104848
"Colombia","2017",11.01218653
"Mexico","2017",73.596102208
"Venezuela","2017",23.647450475
"Asia","2017",740.306857211
"China","2017",237.948494932
"India","2017",57.550633782
"Indonesia","2017",44.654100704
"Japan","2017",128.896874534
"Malaysia","2017",46.445530561
"South Korea","2017",47.761913416
"Taiwan","2017",20.103882429
"Thailand","2017",46.567973635
"Pacific","2017",48.680485637
"Australia","2017",43.304139091
"New Zealand","2017",5.274258587
"Africa","2017",141.50115789
"Algeria","2017",40.831144061
"Egypt","2017",54.889570313
"Nigeria","2017",15.775321058
"South Africa","2017",5.353824
"Middle-East","2017",514.751786357
"Iran","2017",200.145730641
"Kuwait","2017",22.03336871
"Saudi Arabia","2017",97.612626803
"United Arab Emirates","2017",71.241302232
